,name,hobby,age,educational-level,marital-status,class
0,92,2,1,1,2,1
1,10,2,1,3,2,2
2,83,3,1,4,1,3
3,61,2,4,2,2,3
4,107,1,1,3,4,3
5,113,1,1,3,2,2
6,80,3,1,3,2,2
7,125,3,4,2,4,3
8,36,2,2,1,1,1
9,105,3,2,1,1,1
10,81,1,2,1,1,1
11,122,2,2,3,4,3
12,94,1,1,2,1,1
13,60,2,1,2,2,2
14,8,2,4,1,4,3
15,20,1,1,3,3,1
16,85,3,2,1,2,2
17,50,1,2,1,1,1
18,68,3,3,2,1,1
19,89,3,1,3,2,1
20,52,1,2,2,1,2
21,19,3,2,1,3,1
22,118,2,1,2,1,1
23,16,3,2,1,3,1
24,91,2,3,2,1,1
25,79,3,2,2,1,2
26,23,3,2,1,3,2
27,25,2,1,2,2,2
28,30,1,1,3,2,1
29,57,3,2,1,1,1
30,3,1,4,1,1,3
31,114,2,2,1,3,1
32,37,1,2,1,3,2
33,66,1,1,1,2,1
34,110,2,4,3,1,3
35,116,3,1,2,2,2
36,88,1,1,2,2,2
37,77,3,2,2,1,2
38,82,1,2,1,2,2
39,64,3,4,3,2,3
40,84,2,2,2,1,2
41,86,2,2,1,2,2
42,6,3,2,1,3,2
43,74,3,2,1,1,1
44,106,3,1,2,1,1
45,115,1,2,1,3,2
46,130,2,1,1,2,1
47,54,1,1,1,2,1
48,33,1,2,2,3,2
49,67,3,3,1,1,1
50,69,3,3,3,1,1
51,39,3,2,1,2,2
52,53,3,2,1,2,2
53,127,3,1,2,1,1
54,96,1,1,1,2,1
55,121,2,1,3,2,1
56,70,2,2,2,1,2
57,123,2,1,2,1,1
58,42,2,2,1,3,1
59,78,2,1,2,2,2
60,11,1,2,4,2,3
61,129,2,2,1,2,2
62,128,1,1,2,4,3
63,5,1,3,2,1,1
64,4,2,4,4,2,3
65,95,2,3,2,1,1
66,73,3,1,2,2,2
67,26,1,1,2,2,2
68,48,1,3,2,4,3
69,104,1,1,2,2,2
70,102,3,1,4,2,3
71,2,2,1,3,2,2
72,41,1,1,3,2,2
73,119,3,1,3,2,1
74,75,1,2,4,4,3
75,47,1,4,2,1,3
76,93,2,1,2,1,1
77,46,3,4,1,2,3
78,132,2,2,1,1,1
79,108,1,1,2,1,1
80,18,2,2,4,3,3
81,62,3,1,2,2,2
82,120,1,1,3,2,1
83,35,1,2,1,3,1
84,27,1,4,4,1,3
85,98,3,3,3,2,2
86,109,2,2,1,3,2
87,31,3,3,2,1,2
88,112,1,1,1,3,1
89,34,2,2,1,2,2
90,63,2,2,2,1,2
91,65,2,3,2,3,2
92,117,1,3,2,1,2
93,56,2,2,1,2,2
94,59,1,1,1,2,1
95,76,3,2,2,1,2
96,1,3,2,1,1,1
97,28,1,1,2,1,1
98,22,3,1,4,4,3
99,29,3,3,2,1,2
100,111,2,3,2,1,2
101,97,2,1,3,1,1
102,49,1,2,1,2,2
103,51,3,1,1,2,1
104,87,2,2,4,1,3
105,58,1,2,2,1,2
106,32,2,3,2,1,2
107,72,2,2,1,4,3
108,55,1,4,2,3,3
109,103,2,2,1,1,1
110,7,1,2,1,1,1
111,99,2,2,3,2,2
112,15,1,3,2,1,1
113,126,3,1,2,1,1
114,45,3,1,1,2,1
115,101,3,3,1,4,3
116,100,2,3,4,1,3
117,24,1,2,3,3,2
118,124,3,3,2,2,2
119,13,3,3,4,2,3
120,14,1,2,2,1,2
121,38,2,1,1,4,3
122,71,3,1,2,2,2
123,43,3,2,2,4,3
124,131,2,3,1,3,1
125,17,2,1,1,2,1
126,12,3,4,1,3,3
127,44,1,1,4,3,3
128,40,2,1,2,1,1
129,90,1,2,1,2,2
130,21,1,2,2,1,2
131,9,3,1,1,2,1
